text,label
The capital of France is Paris and it is a beautiful city.,REAL
Aliens have landed in New York and are demanding pizza.,FAKE
Water boils at 100 degrees Celsius at sea level.,REAL
 scientists discover that the moon is made of green cheese.,FAKE
The earth revolves around the sun.,REAL
Celebrity X was seen riding a unicorn in downtown LA.,FAKE
Python is a popular programming language for data science.,REAL
Drinking bleach cures all diseases instantly.,FAKE
The 2020 Olympics were postponed due to the pandemic.,REAL
A man lived for 500 years without eating food.,FAKE
